ID,DepID,DepCode,EnterpriseID,Consumption,LastTestTime
41337036,10,1008,2,2.37,2018/8/13 0:59
41337607,10,1008,2,2.3,2018/8/13 1:59
41338178,10,1008,2,2.48,2018/8/13 2:59
41338749,10,1008,2,2.49,2018/8/13 3:59
41339320,10,1008,2,2.48,2018/8/13 4:59
41339891,10,1008,2,2.62,2018/8/13 5:59
41340462,10,1008,2,2.57,2018/8/13 6:59
41341033,10,1008,2,3.47,2018/8/13 7:59
41341604,10,1008,2,4.4,2018/8/13 8:59
41342175,10,1008,2,6.75,2018/8/13 9:59
41342746,10,1008,2,6.31,2018/8/13 10:59
41343317,10,1008,2,5.9,2018/8/13 11:59
41343888,10,1008,2,5.52,2018/8/13 12:59
41344459,10,1008,2,5.57,2018/8/13 13:59
41345030,10,1008,2,6.14,2018/8/13 14:59
41345601,10,1008,2,5.77,2018/8/13 15:59
41346172,10,1008,2,6.37,2018/8/13 16:59
41346743,10,1008,2,5.22,2018/8/13 17:59
41347314,10,1008,2,4.31,2018/8/13 18:59
41347885,10,1008,2,4.17,2018/8/13 19:59
41348456,10,1008,2,4.31,2018/8/13 20:59
41349027,10,1008,2,4.14,2018/8/13 21:59
41349598,10,1008,2,2.63,2018/8/13 22:59
41350169,10,1008,2,3.02,2018/8/13 23:59
41350740,10,1008,2,2.41,2018/8/14 0:59
41351311,10,1008,2,2.52,2018/8/14 1:59
41351882,10,1008,2,2.35,2018/8/14 2:59
41352453,10,1008,2,2.44,2018/8/14 3:59
41353024,10,1008,2,2.32,2018/8/14 4:59
41353595,10,1008,2,2.41,2018/8/14 5:59
41354166,10,1008,2,2.34,2018/8/14 6:59
41354737,10,1008,2,3.2,2018/8/14 7:59
41355308,10,1008,2,4.15,2018/8/14 8:59
41355879,10,1008,2,6.03,2018/8/14 9:59
41356450,10,1008,2,5.74,2018/8/14 10:59
41357021,10,1008,2,5.54,2018/8/14 11:59
41357592,10,1008,2,5.76,2018/8/14 12:59
41358163,10,1008,2,5.97,2018/8/14 13:59
41358734,10,1008,2,6.14,2018/8/14 14:59
41359305,10,1008,2,6.67,2018/8/14 15:59
41359876,10,1008,2,6.79,2018/8/14 16:59
41360447,10,1008,2,5.66,2018/8/14 17:59
41361018,10,1008,2,5.25,2018/8/14 18:59
41361589,10,1008,2,5.1,2018/8/14 19:59
41362160,10,1008,2,4.94,2018/8/14 20:59
41362731,10,1008,2,4.23,2018/8/14 21:59
41363302,10,1008,2,2.8,2018/8/14 22:59
41363873,10,1008,2,2.69,2018/8/14 23:59
41364444,10,1008,2,2.5,2018/8/15 0:59
41365015,10,1008,2,2.49,2018/8/15 1:59
41365586,10,1008,2,2.36,2018/8/15 2:59
41366157,10,1008,2,2.47,2018/8/15 3:59
41366728,10,1008,2,2.35,2018/8/15 4:59
41367299,10,1008,2,2.39,2018/8/15 5:59
41367870,10,1008,2,2.45,2018/8/15 6:59
41368441,10,1008,2,3.28,2018/8/15 7:59
41369012,10,1008,2,5.58,2018/8/15 8:59
41369583,10,1008,2,6.42,2018/8/15 9:59
41370154,10,1008,2,5.92,2018/8/15 10:59
41370725,10,1008,2,5.66,2018/8/15 11:59
41371296,10,1008,2,5.26,2018/8/15 12:59
41371867,10,1008,2,5.21,2018/8/15 13:59
41372438,10,1008,2,6.26,2018/8/15 14:59
41373009,10,1008,2,6.08,2018/8/15 15:59
41373580,10,1008,2,5.96,2018/8/15 16:59
41374151,10,1008,2,5.3,2018/8/15 17:59
41374722,10,1008,2,5.54,2018/8/15 18:59
41375293,10,1008,2,5.12,2018/8/15 19:59
41375864,10,1008,2,4.43,2018/8/15 20:59
41376435,10,1008,2,4.24,2018/8/15 21:59
41377006,10,1008,2,3.45,2018/8/15 22:59
41377577,10,1008,2,3.78,2018/8/15 23:59
41378148,10,1008,2,3.06,2018/8/16 0:59
41378719,10,1008,2,2.88,2018/8/16 1:59
41379290,10,1008,2,2.77,2018/8/16 2:59
41379861,10,1008,2,2.8,2018/8/16 3:59
41380432,10,1008,2,2.7,2018/8/16 4:59
41381003,10,1008,2,2.83,2018/8/16 5:59
41381574,10,1008,2,3.15,2018/8/16 6:59
41382145,10,1008,2,4.01,2018/8/16 7:59
41382716,10,1008,2,5.89,2018/8/16 8:59
41383287,10,1008,2,6.41,2018/8/16 9:59
41383858,10,1008,2,6.46,2018/8/16 10:59
41384429,10,1008,2,6.7,2018/8/16 11:59
41385000,10,1008,2,5.97,2018/8/16 12:59
41385571,10,1008,2,6.91,2018/8/16 13:59
41386142,10,1008,2,6.7,2018/8/16 14:59
41386713,10,1008,2,6.45,2018/8/16 15:59
41387284,10,1008,2,6.36,2018/8/16 16:59
41387855,10,1008,2,5.24,2018/8/16 17:59
41388426,10,1008,2,4.49,2018/8/16 18:59
41388997,10,1008,2,4.83,2018/8/16 19:59
41389568,10,1008,2,4.38,2018/8/16 20:59
41390139,10,1008,2,4.06,2018/8/16 21:59
41390710,10,1008,2,3.57,2018/8/16 22:59
41391281,10,1008,2,2.97,2018/8/16 23:59
41391852,10,1008,2,2.67,2018/8/17 0:59
41392423,10,1008,2,2.71,2018/8/17 1:59
41392994,10,1008,2,2.66,2018/8/17 2:59
41393565,10,1008,2,2.71,2018/8/17 3:59
41394136,10,1008,2,2.73,2018/8/17 4:59
41394707,10,1008,2,2.64,2018/8/17 5:59
41395278,10,1008,2,3.23,2018/8/17 6:59
41395849,10,1008,2,3.56,2018/8/17 7:59
41396420,10,1008,2,4.97,2018/8/17 8:59
41396991,10,1008,2,5.4,2018/8/17 9:59
41397562,10,1008,2,5.64,2018/8/17 10:59
41398133,10,1008,2,5.04,2018/8/17 11:59
41398704,10,1008,2,4.72,2018/8/17 12:59
41399275,10,1008,2,4.72,2018/8/17 13:59
41399846,10,1008,2,5.62,2018/8/17 14:59
41400417,10,1008,2,5.25,2018/8/17 15:59
41400988,10,1008,2,5.09,2018/8/17 16:59
41401559,10,1008,2,4.99,2018/8/17 17:59
41402130,10,1008,2,4.27,2018/8/17 18:59
41402701,10,1008,2,4.17,2018/8/17 19:59
41403272,10,1008,2,4.38,2018/8/17 20:59
41403843,10,1008,2,4.45,2018/8/17 21:59
41404414,10,1008,2,3.21,2018/8/17 22:59
41404985,10,1008,2,2.74,2018/8/17 23:59
41405556,10,1008,2,2.7,2018/8/18 0:59
41406127,10,1008,2,2.69,2018/8/18 1:59
41406698,10,1008,2,2.72,2018/8/18 2:59
41407269,10,1008,2,2.67,2018/8/18 3:59
41407840,10,1008,2,2.75,2018/8/18 4:59
41408411,10,1008,2,2.74,2018/8/18 5:59
41408982,10,1008,2,2.78,2018/8/18 6:59
41409553,10,1008,2,3.67,2018/8/18 7:59
41410124,10,1008,2,5.79,2018/8/18 8:59
41410695,10,1008,2,5.06,2018/8/18 9:59
41411266,10,1008,2,4.87,2018/8/18 10:59
41411837,10,1008,2,5.04,2018/8/18 11:59
41412408,10,1008,2,5.17,2018/8/18 12:59
41412979,10,1008,2,5.12,2018/8/18 13:59
41413550,10,1008,2,5.19,2018/8/18 14:59
41414121,10,1008,2,4.87,2018/8/18 15:59
41414692,10,1008,2,4.99,2018/8/18 16:59
41415263,10,1008,2,4,2018/8/18 17:59
41415834,10,1008,2,3.9,2018/8/18 18:59
41416405,10,1008,2,3.89,2018/8/18 19:59
41416976,10,1008,2,4.1,2018/8/18 20:59
41417547,10,1008,2,3.94,2018/8/18 21:59
41418118,10,1008,2,2.86,2018/8/18 22:59
41418689,10,1008,2,2.97,2018/8/18 23:59
41419260,10,1008,2,2.94,2018/8/19 0:59
41419831,10,1008,2,2.61,2018/8/19 1:59
41420402,10,1008,2,2.65,2018/8/19 2:59
41420973,10,1008,2,2.61,2018/8/19 3:59
41421544,10,1008,2,2.73,2018/8/19 4:59
41422115,10,1008,2,2.7,2018/8/19 5:59
41422686,10,1008,2,2.75,2018/8/19 6:59
41423257,10,1008,2,3.76,2018/8/19 7:59
41423828,10,1008,2,4.47,2018/8/19 8:59
41424399,10,1008,2,5.16,2018/8/19 9:59
41424970,10,1008,2,4.88,2018/8/19 10:59
41425541,10,1008,2,4.58,2018/8/19 11:59
41426112,10,1008,2,4.21,2018/8/19 12:59
41426683,10,1008,2,5.34,2018/8/19 13:59
41427254,10,1008,2,4.97,2018/8/19 14:59
41427825,10,1008,2,4.99,2018/8/19 15:59
41428396,10,1008,2,5.54,2018/8/19 16:59
41428967,10,1008,2,4.5,2018/8/19 17:59
41429538,10,1008,2,4.48,2018/8/19 18:59
41430109,10,1008,2,3.87,2018/8/19 19:59
41430680,10,1008,2,3.88,2018/8/19 20:59
41431251,10,1008,2,3.85,2018/8/19 21:59
41431822,10,1008,2,3.45,2018/8/19 22:59
41432393,10,1008,2,2.93,2018/8/19 23:59
41432964,10,1008,2,2.78,2018/8/20 0:59
41433535,10,1008,2,2.79,2018/8/20 1:59
41434106,10,1008,2,2.7,2018/8/20 2:59
41434677,10,1008,2,2.75,2018/8/20 3:59
41435248,10,1008,2,2.85,2018/8/20 4:59
41435819,10,1008,2,2.78,2018/8/20 5:59
41436390,10,1008,2,2.86,2018/8/20 6:59
41436961,10,1008,2,3.9,2018/8/20 7:59
41437532,10,1008,2,4.15,2018/8/20 8:59
41438103,10,1008,2,5.88,2018/8/20 9:59
41438674,10,1008,2,5.42,2018/8/20 10:59
41439245,10,1008,2,5.34,2018/8/20 11:59
41439816,10,1008,2,5.69,2018/8/20 12:59
41440387,10,1008,2,5.68,2018/8/20 13:59
41440958,10,1008,2,6.38,2018/8/20 14:59
41441529,10,1008,2,6.45,2018/8/20 15:59
41442100,10,1008,2,5.66,2018/8/20 16:59
41442671,10,1008,2,5.42,2018/8/20 17:59
41443242,10,1008,2,4.85,2018/8/20 18:59
41443813,10,1008,2,4.7,2018/8/20 19:59
41444384,10,1008,2,3.86,2018/8/20 20:59
41444955,10,1008,2,4.75,2018/8/20 21:59
41445526,10,1008,2,3.14,2018/8/20 22:59
41446097,10,1008,2,3.13,2018/8/20 23:59
41446668,10,1008,2,3.19,2018/8/21 0:59
41447239,10,1008,2,3.07,2018/8/21 1:59
41447810,10,1008,2,3.04,2018/8/21 2:59
