Time,Value,Week,1DayAgoValue,1HourAgoValue
2018-03-31 02:00:00,4.421000000089407,5,3.9679999999934807,3.578999999910593
2018-03-31 03:00:00,3.578999999910593,5,4.429000000003725,4.421000000089407
2018-03-31 04:00:00,4.421000000089407,5,3.5709999999962747,3.578999999910593
2018-03-31 05:00:00,3.578999999910593,5,4.032000000006519,4.421000000089407
2018-03-31 06:00:00,4.421000000089407,5,3.9679999999934807,3.578999999910593
2018-03-31 07:00:00,5.0,5,5.429000000003725,4.421000000089407
2018-03-31 08:00:00,6.0,5,5.578999999910593,5.0
2018-03-31 09:00:00,5.570999999996275,5,6.016000000177883,6.0
2018-03-31 10:00:00,6.015999999945052,5,6.404999999911524,5.570999999996275
2018-03-31 11:00:00,4.991999999969266,5,6.0,6.015999999945052
2018-03-31 12:00:00,6.016000000177883,5,5.578999999910593,4.991999999969266
2018-03-31 13:00:00,6.404999999911524,5,6.016000000177883,6.016000000177883
2018-03-31 14:00:00,6.0,5,6.404999999911524,6.404999999911524
2018-03-31 15:00:00,5.578999999910593,5,6.0,6.0
2018-03-31 16:00:00,6.016000000177883,5,5.578999999910593,5.578999999910593
2018-03-31 17:00:00,6.404999999911524,5,6.016000000177883,6.016000000177883
2018-03-31 18:00:00,6.586999999941327,5,6.404999999911524,6.404999999911524
2018-03-31 19:00:00,4.991999999969266,5,6.0,6.586999999941327
2018-03-31 20:00:00,6.016000000177883,5,5.578999999910593,4.991999999969266
2018-03-31 21:00:00,6.404999999911524,5,6.016000000177883,6.016000000177883
2018-03-31 22:00:00,4.603000000002794,5,6.404999999911524,6.404999999911524
2018-03-31 23:00:00,3.9679999999934807,5,3.578999999910593,4.603000000002794
2018-04-01 00:00:00,5.429000000003725,6,4.421000000089407,3.9679999999934807
2018-04-01 01:00:00,2.5709999999962747,6,3.578999999910593,5.429000000003725
2018-04-01 02:00:00,4.032000000006519,6,4.421000000089407,2.5709999999962747
2018-04-01 03:00:00,4.992000000085682,6,3.578999999910593,4.032000000006519
2018-04-01 04:00:00,4.404999999911524,6,4.421000000089407,4.992000000085682
2018-04-01 05:00:00,3.5950000000884756,6,3.578999999910593,4.404999999911524
2018-04-01 06:00:00,4.404999999911524,6,4.421000000089407,3.5950000000884756
2018-04-01 07:00:00,3.5950000000884756,6,5.0,4.404999999911524
