Time,Value,Week
2017-09-02 00:00:00,246.01599999994505,5
2017-09-03 00:00:00,225.41300000005867,6
2017-09-04 00:00:00,262.0,0
2017-09-05 00:00:00,331.5950000000885,1
2017-09-06 00:00:00,377.4049999999115,2
2017-09-07 00:00:00,403.5869999999413,3
2017-09-08 00:00:00,329.98400000005495,4
2017-09-09 00:00:00,403.0079999999143,5
2017-09-10 00:00:00,358.0160000001779,6
2017-09-11 00:00:00,329.9839999998221,0
2017-09-12 00:00:00,290.4210000000894,1
2017-09-13 00:00:00,371.5950000000885,2
2017-09-14 00:00:00,409.4049999999115,3
2017-09-15 00:00:00,363.5869999999413,4
2017-09-16 00:00:00,601.984000000055,5
2017-09-17 00:00:00,650.4290000000037,6
2017-09-18 00:00:00,378.0,0
2017-09-19 00:00:00,409.0,1
2017-09-20 00:00:00,395.5950000000885,2
2017-09-21 00:00:00,259.0079999999143,3
2017-09-22 00:00:00,246.3969999999972,4
2017-09-23 00:00:00,264.0,5
2017-09-24 00:00:00,232.0,6
2017-09-25 00:00:00,198.59500000008848,0
2017-09-26 00:00:00,289.9839999998221,1
2017-09-27 00:00:00,343.4210000000894,2
2017-09-28 00:00:00,400.5789999999106,3
2017-09-29 00:00:00,307.00800000003073,4
2017-09-30 00:00:00,291.00800000014715,5
2017-10-01 00:00:00,195.00799999991432,6
2017-10-02 00:00:00,179.3969999999972,0
2017-10-03 00:00:00,182.0,1
2017-10-04 00:00:00,178.0,2
2017-10-05 00:00:00,171.5789999999106,3
2017-10-06 00:00:00,164.4210000000894,4
2017-10-07 00:00:00,168.57099999999627,5
2017-10-08 00:00:00,173.42900000000373,6
2017-10-09 00:00:00,178.57099999999627,0
2017-10-10 00:00:00,255.42900000000373,1
2017-10-11 00:00:00,574.5869999999413,2
2017-10-12 00:00:00,225.41300000005867,3
2017-10-13 00:00:00,203.5789999999106,4
2017-10-14 00:00:00,238.01600000017788,5
2017-10-15 00:00:00,374.4049999999115,6
2017-10-16 00:00:00,363.0,0
2017-10-17 00:00:00,341.5709999999963,1
2017-10-18 00:00:00,184.0,2
2017-10-19 00:00:00,168.0,3
2017-10-20 00:00:00,169.0240000000922,4
2017-10-21 00:00:00,174.40499999991152,5
2017-10-22 00:00:00,171.5789999999106,6
2017-10-23 00:00:00,171.00800000003073,0
2017-10-24 00:00:00,175.41300000005867,1
2017-10-25 00:00:00,178.57099999999627,2
2017-10-26 00:00:00,177.0240000000922,3
2017-10-27 00:00:00,182.9759999999078,4
2017-10-28 00:00:00,186.42900000000373,5
2017-10-29 00:00:00,189.57099999999627,6
2017-10-30 00:00:00,174.01599999994505,0
2017-10-31 00:00:00,99.00800000014715,1
2017-11-01 00:00:00,0.0,2
2017-11-02 00:00:00,403.4049999999115,3
2017-11-03 00:00:00,164.59500000008848,4
2017-11-04 00:00:00,182.9759999999078,5
2017-11-05 00:00:00,505.0240000000922,6
2017-11-06 00:00:00,462.9759999999078,0
2017-11-07 00:00:00,158.01599999994505,1
2017-11-08 00:00:00,196.99199999996927,2
2017-11-09 00:00:00,82.4210000000894,3
2017-11-10 00:00:00,229.0,4
2017-11-11 00:00:00,155.0,5
2017-11-12 00:00:00,154.57099999999627,6
2017-11-13 00:00:00,155.00799999991432,0
2017-11-14 00:00:00,156.4210000000894,1
2017-11-15 00:00:00,158.58699999994133,2
2017-11-16 00:00:00,158.01600000006147,3
2017-11-17 00:00:00,164.99200000008568,4
2017-11-18 00:00:00,166.9759999999078,5
2017-11-19 00:00:00,239.42900000000373,6
2017-11-20 00:00:00,187.5789999999106,0
2017-11-21 00:00:00,298.4210000000894,1
2017-11-22 00:00:00,199.0,2
2017-11-23 00:00:00,547.5709999999963,3
2017-11-24 00:00:00,202.42900000000373,4
2017-11-25 00:00:00,187.58699999994133,5
