AH_AnalogNo,AH_Time,AH_Value
19534,2017-01-02 11:26:49.000,775958.016
19534,2017-01-02 11:36:49.000,775959.429
19534,2017-01-02 11:41:47.000,775960
19534,2017-01-02 11:46:49.000,775961.024
19534,2017-01-02 11:51:50.000,775962.429
19534,2017-01-02 11:56:49.000,775963.008
19534,2017-01-02 12:01:50.000,775964.032
19534,2017-01-02 12:06:49.000,775965.429
19534,2017-01-02 12:16:49.000,775966.016
19534,2017-01-02 12:21:49.000,775967.429
19534,2017-01-02 12:26:50.000,775968
19534,2017-01-02 12:31:50.000,775969.024
19534,2017-01-02 12:36:50.000,775970.429
19534,2017-01-02 12:46:49.000,775971.008
19534,2017-01-02 12:51:49.000,775972.429
19534,2017-01-02 12:56:48.000,775973.429
19534,2017-01-02 13:01:48.000,775974.016
19534,2017-01-02 13:11:49.000,775976
19534,2017-01-02 13:16:47.000,775977.024
19534,2017-01-02 13:21:49.000,775978.429
19534,2017-01-02 13:26:48.000,775979.008
19534,2017-01-02 13:36:48.000,775980.032
19534,2017-01-02 13:41:48.000,775981.429
19534,2017-01-02 13:46:46.000,775982.016
19534,2017-01-02 13:51:47.000,775983.429
19534,2017-01-02 13:56:49.000,775984
19534,2017-01-02 14:01:47.000,775985.024
19534,2017-01-02 14:06:47.000,775986.429
19534,2017-01-02 14:11:48.000,775987.008
19534,2017-01-02 14:19:02.000,775988.429
19534,2017-01-02 14:24:03.000,775989.429
19534,2017-01-02 14:29:02.000,775990.016
19534,2017-01-02 14:34:04.000,775991.429
19534,2017-01-02 14:39:03.000,775992
19534,2017-01-02 14:49:01.000,775993.024
19534,2017-01-02 14:54:01.000,775994.429
19534,2017-01-02 14:59:03.000,775995.008
19534,2017-01-02 15:04:03.000,775996.032
19534,2017-01-02 15:09:02.000,775997.429
19534,2017-01-02 15:14:03.000,775998.016
19534,2017-01-02 15:19:03.000,775999.429
19534,2017-01-02 15:24:02.000,776000
19534,2017-01-02 15:29:04.000,776001.024
19534,2017-01-02 15:39:02.000,776002.429
19534,2017-01-02 15:44:02.000,776003.008
19534,2017-01-02 15:49:04.000,776004.429
19534,2017-01-02 15:54:03.000,776005.429
19534,2017-01-02 15:59:03.000,776006.016
19534,2017-01-02 16:04:05.000,776007.429
19534,2017-01-02 16:09:03.000,776008
19534,2017-01-02 16:14:02.000,776009.024
19534,2017-01-02 16:19:02.000,776010.429
19534,2017-01-02 16:29:02.000,776011.008
19534,2017-01-02 16:34:02.000,776012.032
19534,2017-01-02 16:39:02.000,776013.429
19534,2017-01-02 16:44:03.000,776014.016
19534,2017-01-02 16:49:04.000,776015.429
19534,2017-01-02 16:54:03.000,776016
19534,2017-01-02 16:59:02.000,776017.024
19534,2017-01-02 17:09:02.000,776018.429
19534,2017-01-02 17:14:02.000,776019.008
19534,2017-01-02 17:19:03.000,776020.429
19534,2017-01-02 17:24:02.000,776021.429
19534,2017-01-02 17:29:03.000,776022.016
19534,2017-01-02 17:34:03.000,776023.429
19534,2017-01-02 17:39:04.000,776024
19534,2017-01-02 17:49:02.000,776025.024
19534,2017-01-02 17:54:03.000,776026.429
19534,2017-01-02 17:59:04.000,776027.008
19534,2017-01-02 18:04:02.000,776028.032
19534,2017-01-02 18:09:02.000,776029.429
19534,2017-01-02 18:14:02.000,776030.016
19534,2017-01-02 18:19:03.000,776031.429
19534,2017-01-02 18:24:03.000,776032
19534,2017-01-02 18:34:03.000,776033.024
19534,2017-01-02 18:39:04.000,776034.429
19534,2017-01-02 18:44:03.000,776035.008
19534,2017-01-02 18:49:02.000,776036.429
19534,2017-01-02 18:54:01.000,776037.429
19534,2017-01-02 18:59:03.000,776038.016
19534,2017-01-02 19:04:03.000,776039.429
19534,2017-01-02 19:09:04.000,776040
19534,2017-01-02 19:19:03.000,776041.024
19534,2017-01-02 19:24:03.000,776042.429
19534,2017-01-02 19:29:02.000,776043.008
19534,2017-01-02 19:34:02.000,776044.032
19534,2017-01-02 19:39:04.000,776045.429
19534,2017-01-02 19:44:01.000,776046.016
19534,2017-01-02 19:49:01.000,776047.429
19534,2017-01-02 19:54:04.000,776048
19534,2017-01-02 19:59:03.000,776049.024
19534,2017-01-02 20:14:04.000,776051.008
19534,2017-01-02 20:19:02.000,776052.429
19534,2017-01-02 20:24:01.000,776053.429
19534,2017-01-02 20:29:04.000,776054.016
19534,2017-01-02 20:34:03.000,776055.429
19534,2017-01-02 20:39:03.000,776056
19534,2017-01-02 20:49:04.000,776057.024
19534,2017-01-02 20:54:03.000,776058.429
19534,2017-01-02 20:59:02.000,776059.008
19534,2017-01-02 21:04:02.000,776060.032
19534,2017-01-02 21:09:04.000,776061.429
19534,2017-01-02 21:14:02.000,776062.016
19534,2017-01-02 21:19:01.000,776063.429
19534,2017-01-02 21:24:04.000,776064
19534,2017-01-02 21:34:02.000,776065.024
19534,2017-01-02 21:39:03.000,776066.429
19534,2017-01-02 21:49:04.000,776067.008
19534,2017-01-02 21:59:02.000,776068.429
19534,2017-01-02 22:19:03.000,776069.429
19534,2017-01-02 22:29:03.000,776070.016
19534,2017-01-02 22:44:02.000,776071.429
19534,2017-01-02 22:59:03.000,776072
19534,2017-01-02 23:19:04.000,776073.024
19534,2017-01-02 23:34:01.000,776074.429
19534,2017-01-02 23:49:01.000,776075.008
19534,2017-01-03 00:04:01.000,776076.032
19534,2017-01-03 00:19:01.000,776077.429
19534,2017-01-03 00:34:01.000,776078.016
19534,2017-01-03 00:54:01.000,776079.429
19534,2017-01-03 01:09:01.000,776080
19534,2017-01-03 01:24:02.000,776081.024
19534,2017-01-03 01:39:02.000,776082.429
19534,2017-01-03 01:54:03.000,776083.008
19534,2017-01-03 02:09:02.000,776084.429
19534,2017-01-03 02:24:03.000,776085.429
19534,2017-01-03 02:44:01.000,776086.016
19534,2017-01-03 03:04:03.000,776087.429
19534,2017-01-03 03:14:03.000,776088
19534,2017-01-03 03:29:01.000,776089.024
19534,2017-01-03 03:49:01.000,776090.429
19534,2017-01-03 04:04:03.000,776091.008
19534,2017-01-03 04:19:03.000,776092.032
19534,2017-01-03 04:34:02.000,776093.429
19534,2017-01-03 04:49:03.000,776094.016
19534,2017-01-03 05:04:03.000,776095.429
19534,2017-01-03 05:24:01.000,776096
19534,2017-01-03 05:39:03.000,776097.024
19534,2017-01-03 05:54:02.000,776098.429
19534,2017-01-03 06:09:15.000,776099.008
19534,2017-01-03 06:29:04.000,776100.429
19534,2017-01-03 06:44:04.000,776101.429
19534,2017-01-03 06:54:03.000,776102.016
19534,2017-01-03 07:04:03.000,776103.429
19534,2017-01-03 07:09:03.000,776104
19534,2017-01-03 07:19:05.000,776105.024
19534,2017-01-03 07:24:03.000,776106.429
19534,2017-01-03 07:34:03.000,776107.008
19534,2017-01-03 07:44:05.000,776108.032
19534,2017-01-03 07:49:02.000,776109.429
19534,2017-01-03 07:59:03.000,776110.016
19534,2017-01-03 08:06:46.000,776111.429
19534,2017-01-03 08:11:44.000,776112
19534,2017-01-03 08:21:44.000,776113.024
19534,2017-01-03 08:26:45.000,776114.429
19534,2017-01-03 08:31:47.000,776115.008
19534,2017-01-03 08:36:45.000,776116.429
19534,2017-01-03 08:46:46.000,776117.429
19534,2017-01-03 08:56:44.000,776119.429
19534,2017-01-03 09:06:45.000,776121.024
19534,2017-01-03 09:11:45.000,776122.429
19534,2017-01-03 09:16:43.000,776123.008
19534,2017-01-03 09:21:46.000,776124.032
19534,2017-01-03 09:26:46.000,776125.429
19534,2017-01-03 09:31:46.000,776126.016
