AH_AnalogNo,AH_Time,AH_Value
19534,2018/3/28 19:57:20.000,883909.429
19534,2018/3/28 20:07:20.000,883910.016
19534,2018/3/28 20:17:22.000,883911.429
19534,2018/3/28 20:27:23.000,883912
19534,2018/3/28 20:37:24.000,883913.024
19534,2018/3/28 20:47:23.000,883914.429
19534,2018/3/28 20:57:28.000,883915.008
19534,2018/3/28 21:07:22.000,883916.032
19534,2018/3/28 21:17:24.000,883917.429
19534,2018/3/28 21:27:22.000,883918.016
19534,2018/3/28 21:37:21.000,883919.429
19534,2018/3/28 21:47:25.000,883920
19534,2018/3/28 22:02:22.000,883921.024
19534,2018/3/28 22:17:22.000,883922.429
19534,2018/3/28 22:32:21.000,883923.008
19534,2018/3/28 22:47:23.000,883924.429
19534,2018/3/28 23:02:24.000,883925.429
19534,2018/3/28 23:17:21.000,883926.016
19534,2018/3/28 23:32:19.000,883927.429
19534,2018/3/28 23:52:21.000,883928
19534,2018/3/29 00:02:19.000,883929.024
19534,2018/3/29 00:17:19.000,883930.429
19534,2018/3/29 00:32:18.000,883931.008
19534,2018/3/29 00:52:25.000,883932.032
19534,2018/3/29 01:02:21.000,883933.429
19534,2018/3/29 01:17:21.000,883934.016
19534,2018/3/29 01:32:19.000,883935.429
19534,2018/3/29 01:47:22.000,883936
19534,2018/3/29 02:02:20.000,883937.024
19534,2018/3/29 02:17:21.000,883938.429
19534,2018/3/29 02:37:20.000,883939.008
19534,2018/3/29 02:47:19.000,883940.429
19534,2018/3/29 03:02:21.000,883941.429
19534,2018/3/29 03:12:20.000,883942.016
19534,2018/3/29 03:27:19.000,883943.429
19534,2018/3/29 03:42:19.000,883944
19534,2018/3/29 03:57:19.000,883945.024
19534,2018/3/29 04:17:21.000,883946.429
19534,2018/3/29 04:27:20.000,883947.008
19534,2018/3/29 04:42:21.000,883948.032
19534,2018/3/29 04:57:20.000,883949.429
19534,2018/3/29 05:12:25.000,883950.016
19534,2018/3/29 05:27:21.000,883951.429
19534,2018/3/29 05:42:21.000,883952
19534,2018/3/29 05:57:21.000,883953.024
19534,2018/3/29 06:12:20.000,883954.429
19534,2018/3/29 06:27:24.000,883955.008
19534,2018/3/29 06:42:26.000,883956.429
19534,2018/3/29 07:02:24.000,883957.429
19534,2018/3/29 07:07:24.000,883958.016
19534,2018/3/29 07:17:24.000,883959.429
19534,2018/3/29 07:27:25.000,883960
19534,2018/3/29 07:37:26.000,883961.024
19534,2018/3/29 07:47:25.000,883962.429
19534,2018/3/29 07:57:26.000,883963.008
19534,2018/3/29 08:07:24.000,883964.032
19534,2018/3/29 08:17:20.000,883965.429
19534,2018/3/29 08:27:20.000,883966.016
19534,2018/3/29 08:37:19.000,883967.429
19534,2018/3/29 08:47:20.000,883968
19534,2018/3/29 08:57:19.000,883969.024
19534,2018/3/29 09:07:18.000,883970.429
19534,2018/3/29 09:17:21.000,883971.008
19534,2018/3/29 09:27:20.000,883972.429
19534,2018/3/29 09:37:19.000,883973.429
19534,2018/3/29 09:52:20.000,883974.016
19534,2018/3/29 09:57:20.000,883975.429
19534,2018/3/29 10:02:20.000,883976
19534,2018/3/29 10:12:21.000,883977.024
19534,2018/3/29 10:22:21.000,883978.429
19534,2018/3/29 10:32:21.000,883979.008
19534,2018/3/29 10:42:19.000,883980.032
19534,2018/3/29 10:52:20.000,883981.429
19534,2018/3/29 11:02:20.000,883982.016
19534,2018/3/29 11:12:20.000,883983.429
19534,2018/3/29 11:22:19.000,883984
19534,2018/3/29 11:27:21.000,883985.024
19534,2018/3/29 11:37:19.000,883986.429
19534,2018/3/29 11:47:21.000,883987.008
19534,2018/3/29 11:57:19.000,883988.429
19534,2018/3/29 12:07:21.000,883989.429
19534,2018/3/29 12:17:20.000,883990.016
19534,2018/3/29 12:22:19.000,883991.429
19534,2018/3/29 12:32:20.000,883992
19534,2018/3/29 12:42:21.000,883993.024
19534,2018/3/29 12:52:18.000,883994.429
19534,2018/3/29 13:02:20.000,883995.008
19534,2018/3/29 13:12:20.000,883996.032
19534,2018/3/29 13:22:22.000,883997.429
19534,2018/3/29 13:27:23.000,883998.016
19534,2018/3/29 13:37:21.000,883999.429
19534,2018/3/29 13:47:24.000,884000
19534,2018/3/29 13:57:24.000,884001.024
19534,2018/3/29 14:07:24.000,884002.429
19534,2018/3/29 14:17:23.000,884003.008
19534,2018/3/29 14:27:23.000,884004.429
19534,2018/3/29 14:37:23.000,884005.429
19534,2018/3/29 14:47:23.000,884006.016
19534,2018/3/29 14:57:24.000,884007.429
19534,2018/3/29 15:07:25.000,884008
19534,2018/3/29 15:17:23.000,884009.024
19534,2018/3/29 15:27:23.000,884010.429
19534,2018/3/29 15:37:23.000,884011.008
19534,2018/3/29 15:47:23.000,884012.032
19534,2018/3/29 15:57:22.000,884013.429
19534,2018/3/29 16:07:22.000,884014.016
19534,2018/3/29 16:17:23.000,884015.429
19534,2018/3/29 16:27:22.000,884016
19534,2018/3/29 16:37:23.000,884017.024
19534,2018/3/29 16:47:23.000,884018.429
19534,2018/3/29 16:57:25.000,884019.008
19534,2018/3/29 17:07:24.000,884020.429
19534,2018/3/29 17:17:23.000,884021.429
19534,2018/3/29 17:27:22.000,884022.016
19534,2018/3/29 17:37:24.000,884023.429
19534,2018/3/29 17:47:23.000,884024
19534,2018/3/29 18:02:23.000,884025.024
19534,2018/3/29 18:12:24.000,884026.429
19534,2018/3/29 18:22:24.000,884027.008
19534,2018/3/29 18:32:24.000,884028.032
19534,2018/3/29 18:42:23.000,884029.429
19534,2018/3/29 18:52:23.000,884030.016
19534,2018/3/29 19:02:24.000,884031.429
19534,2018/3/29 19:12:29.000,884032
19534,2018/3/29 19:22:23.000,884033.024
19534,2018/3/29 19:32:24.000,884034.429
19534,2018/3/29 19:42:23.000,884035.008
19534,2018/3/29 20:07:23.000,884037.429
19534,2018/3/29 20:17:22.000,884038.016
19534,2018/3/29 20:27:21.000,884039.429
19534,2018/3/29 20:42:24.000,884040
19534,2018/3/29 20:47:21.000,884041.024
19534,2018/3/29 20:57:22.000,884042.429
19534,2018/3/29 21:07:23.000,884043.008
19534,2018/3/29 21:17:21.000,884044.032
19534,2018/3/29 21:27:23.000,884045.429
19534,2018/3/29 21:37:22.000,884046.016
19534,2018/3/29 21:52:21.000,884047.429
19534,2018/3/29 22:12:20.000,884048
19534,2018/3/29 22:17:23.000,884049.024
