Date,Hmax,Hmin,Humidity
2017-02-22 00:00:00,11,4,37
2017-02-23 00:00:00,11,4,47
2017-02-24 00:00:00,11,5,37
2017-02-25 00:00:00,12,5,33
2017-02-26 00:00:00,12,5,33
2017-02-27 00:00:00,12,5,40
2017-02-28 00:00:00,12,5,43
2017-03-01 00:00:00,12,5,52
2017-03-02 00:00:00,12,5,33
2017-03-03 00:00:00,12,5,43
2017-03-04 00:00:00,12,5,50
2017-03-05 00:00:00,13,5,37
2017-03-06 00:00:00,13,6,27
2017-03-07 00:00:00,13,6,33
2017-03-08 00:00:00,13,6,27
2017-03-09 00:00:00,13,6,40
2017-03-10 00:00:00,13,6,30
2017-03-11 00:00:00,13,6,47
2017-03-12 00:00:00,13,6,40
2017-03-13 00:00:00,14,6,40
2017-03-14 00:00:00,14,6,50
2017-03-15 00:00:00,14,7,47
2017-03-16 00:00:00,14,7,47
2017-03-17 00:00:00,14,7,33
2017-03-18 00:00:00,14,7,47
2017-03-19 00:00:00,14,7,43
2017-03-20 00:00:00,15,7,33
2017-03-21 00:00:00,15,7,47
2017-03-22 00:00:00,15,8,43
2017-03-23 00:00:00,15,8,60
2017-03-24 00:00:00,15,8,52
2017-03-25 00:00:00,15,8,52
2017-03-26 00:00:00,15,8,50
2017-03-27 00:00:00,16,8,60
2017-03-28 00:00:00,16,9,63
2017-03-29 00:00:00,16,9,37
2017-03-30 00:00:00,16,9,37
2017-03-31 00:00:00,16,9,13
2017-04-01 00:00:00,17,9,47
2017-04-02 00:00:00,17,9,43
2017-04-03 00:00:00,17,10,43
2017-04-04 00:00:00,17,10,33
2017-04-05 00:00:00,17,10,30
2017-04-06 00:00:00,18,10,33
2017-04-07 00:00:00,18,10,40
2017-04-08 00:00:00,18,11,40
2017-04-09 00:00:00,18,11,60
2017-04-10 00:00:00,19,11,50
2017-04-11 00:00:00,19,11,50
2017-04-12 00:00:00,19,11,47
2017-04-13 00:00:00,19,12,50
2017-04-14 00:00:00,20,12,40
2017-04-15 00:00:00,20,12,47
2017-04-16 00:00:00,20,12,30
2017-04-17 00:00:00,21,12,30
2017-04-18 00:00:00,21,12,43
2017-04-19 00:00:00,21,13,43
2017-04-20 00:00:00,21,13,50
2017-04-21 00:00:00,22,13,52
2017-04-22 00:00:00,22,13,33
2017-04-23 00:00:00,22,13,33
2017-04-24 00:00:00,22,14,30
2017-04-25 00:00:00,22,14,33
2017-04-26 00:00:00,23,14,27
2017-04-27 00:00:00,23,14,23
2017-04-28 00:00:00,23,14,33
2017-04-29 00:00:00,23,15,33
2017-04-30 00:00:00,23,15,50
2017-05-01 00:00:00,24,15,40
2017-05-02 00:00:00,24,15,37
2017-05-03 00:00:00,24,15,43
2017-05-04 00:00:00,24,15,40
2017-05-05 00:00:00,24,16,50
2017-05-06 00:00:00,24,16,37
2017-05-07 00:00:00,24,16,33
2017-05-08 00:00:00,24,16,23
2017-05-09 00:00:00,25,16,33
2017-05-10 00:00:00,25,16,37
2017-05-11 00:00:00,25,17,23
2017-05-12 00:00:00,25,17,27
2017-05-13 00:00:00,25,17,60
2017-05-14 00:00:00,25,17,43
2017-05-15 00:00:00,25,17,43
2017-05-16 00:00:00,25,17,47
2017-05-17 00:00:00,26,18,47
2017-05-18 00:00:00,26,18,33
2017-05-19 00:00:00,26,18,37
2017-05-20 00:00:00,26,18,20
2017-05-21 00:00:00,26,18,33
2017-05-22 00:00:00,26,18,40
2017-05-23 00:00:00,26,18,30
2017-05-24 00:00:00,26,18,23
2017-05-25 00:00:00,26,19,30
2017-05-26 00:00:00,26,19,23
2017-05-27 00:00:00,27,19,37
2017-05-28 00:00:00,27,19,43
2017-05-29 00:00:00,27,19,30
2017-05-30 00:00:00,27,19,33
2017-05-31 00:00:00,27,19,30
2017-06-01 00:00:00,27,19,37
2017-06-02 00:00:00,27,20,40
2017-06-03 00:00:00,27,20,33
2017-06-04 00:00:00,27,20,37
2017-06-05 00:00:00,27,20,23
2017-06-06 00:00:00,27,20,20
2017-06-07 00:00:00,28,20,40
2017-06-08 00:00:00,28,20,43
2017-06-09 00:00:00,28,21,33
2017-06-10 00:00:00,28,21,50
2017-06-11 00:00:00,28,21,40
2017-06-12 00:00:00,28,21,50
2017-06-13 00:00:00,28,21,50
2017-06-14 00:00:00,28,21,40
2017-06-15 00:00:00,28,21,47
2017-06-16 00:00:00,28,22,40
2017-06-17 00:00:00,28,22,50
2017-06-18 00:00:00,28,22,33
2017-06-19 00:00:00,29,22,37
2017-06-20 00:00:00,29,22,40
2017-06-21 00:00:00,29,22,57
2017-06-22 00:00:00,29,23,50
2017-06-23 00:00:00,29,23,52
2017-06-24 00:00:00,29,23,70
2017-06-25 00:00:00,29,23,52
2017-06-26 00:00:00,30,23,52
2017-06-27 00:00:00,30,24,60
2017-06-28 00:00:00,30,24,52
2017-06-29 00:00:00,30,24,57
2017-06-30 00:00:00,30,24,60
2017-07-01 00:00:00,31,24,57
2017-07-02 00:00:00,31,24,50
2017-07-03 00:00:00,31,25,50
2017-07-04 00:00:00,31,25,52
2017-07-05 00:00:00,31,25,57
2017-07-06 00:00:00,32,25,60
2017-07-07 00:00:00,32,25,47
2017-07-08 00:00:00,32,25,33
2017-07-09 00:00:00,32,25,30
2017-07-10 00:00:00,32,25,40
2017-07-11 00:00:00,33,26,40
2017-07-12 00:00:00,33,26,43
2017-07-13 00:00:00,33,26,47
2017-07-14 00:00:00,33,26,37
2017-07-15 00:00:00,33,26,47
2017-07-16 00:00:00,33,26,40
2017-07-17 00:00:00,33,26,33
2017-07-18 00:00:00,34,26,40
2017-07-19 00:00:00,34,26,13
2017-07-20 00:00:00,34,26,40
2017-07-21 00:00:00,34,26,33
2017-07-22 00:00:00,34,26,40
2017-07-23 00:00:00,34,26,30
2017-07-24 00:00:00,34,26,30
2017-07-25 00:00:00,34,26,30
2017-07-26 00:00:00,34,26,27
2017-07-27 00:00:00,34,26,27
2017-07-28 00:00:00,34,26,27
2017-07-29 00:00:00,33,26,37
2017-07-30 00:00:00,33,26,47
2017-07-31 00:00:00,33,26,33
2017-08-01 00:00:00,33,26,37
2017-08-02 00:00:00,33,26,23
2017-08-03 00:00:00,33,26,33
2017-08-04 00:00:00,33,26,40
2017-08-05 00:00:00,33,26,30
2017-08-06 00:00:00,33,26,27
2017-08-07 00:00:00,33,26,30
2017-08-08 00:00:00,33,26,33
2017-08-09 00:00:00,33,26,33
2017-08-10 00:00:00,33,26,43
2017-08-11 00:00:00,32,26,37
2017-08-12 00:00:00,32,26,30
2017-08-13 00:00:00,32,26,50
2017-08-14 00:00:00,32,26,40
2017-08-15 00:00:00,32,26,27
2017-08-16 00:00:00,32,26,30
2017-08-17 00:00:00,32,26,63
2017-08-18 00:00:00,32,26,52
2017-08-19 00:00:00,32,25,50
2017-08-20 00:00:00,32,25,52
2017-08-21 00:00:00,32,25,47
2017-08-22 00:00:00,32,25,40
2017-08-23 00:00:00,31,25,47
2017-08-24 00:00:00,31,25,37
2017-08-25 00:00:00,31,25,57
2017-08-26 00:00:00,31,25,50
2017-08-27 00:00:00,31,25,47
2017-08-28 00:00:00,31,25,27
2017-08-29 00:00:00,31,24,30
2017-08-30 00:00:00,31,24,43
2017-08-31 00:00:00,31,24,60
2017-09-01 00:00:00,30,24,40
2017-09-02 00:00:00,30,24,40
2017-09-03 00:00:00,30,24,33
2017-09-04 00:00:00,30,24,40
2017-09-05 00:00:00,30,23,57
2017-09-06 00:00:00,30,23,27
2017-09-07 00:00:00,29,23,10
2017-09-08 00:00:00,29,23,17
2017-09-09 00:00:00,29,23,33
2017-09-10 00:00:00,29,23,43
2017-09-11 00:00:00,29,23,60
2017-09-12 00:00:00,29,22,52
2017-09-13 00:00:00,28,22,43
2017-09-14 00:00:00,28,22,57
2017-09-15 00:00:00,28,22,43
2017-09-16 00:00:00,28,22,23
2017-09-17 00:00:00,28,22,30
2017-09-18 00:00:00,28,21,33
2017-09-19 00:00:00,27,21,37
2017-09-20 00:00:00,27,21,43
2017-09-21 00:00:00,27,21,40
2017-09-22 00:00:00,27,21,17
2017-09-23 00:00:00,27,21,27
2017-09-24 00:00:00,27,20,30
2017-09-25 00:00:00,27,20,17
2017-09-26 00:00:00,26,20,20
2017-09-27 00:00:00,26,20,20
2017-09-28 00:00:00,26,20,33
2017-09-29 00:00:00,26,19,33
2017-09-30 00:00:00,26,19,33
2017-10-01 00:00:00,26,19,23
2017-10-02 00:00:00,26,19,33
2017-10-03 00:00:00,25,19,43
2017-10-04 00:00:00,25,19,23
2017-10-05 00:00:00,25,18,37
2017-10-06 00:00:00,25,18,30
2017-10-07 00:00:00,25,18,37
2017-10-08 00:00:00,25,18,20
2017-10-09 00:00:00,24,18,23
2017-10-10 00:00:00,24,17,23
2017-10-11 00:00:00,24,17,27
2017-10-12 00:00:00,24,17,30
2017-10-13 00:00:00,24,17,17
2017-10-14 00:00:00,24,17,17
2017-10-15 00:00:00,23,16,27
2017-10-16 00:00:00,23,16,23
2017-10-17 00:00:00,23,16,33
2017-10-18 00:00:00,23,16,23
2017-10-19 00:00:00,23,16,17
2017-10-20 00:00:00,23,15,27
2017-10-21 00:00:00,22,15,33
2017-10-22 00:00:00,22,15,30
2017-10-23 00:00:00,22,15,20
2017-10-24 00:00:00,22,15,13
2017-10-25 00:00:00,22,15,37
2017-10-26 00:00:00,22,14,30
2017-10-27 00:00:00,21,14,13
2017-10-28 00:00:00,21,14,17
2017-10-29 00:00:00,21,14,20
2017-10-30 00:00:00,21,14,17
2017-10-31 00:00:00,21,13,23
2017-11-01 00:00:00,21,13,37
2017-11-02 00:00:00,20,13,23
2017-11-03 00:00:00,20,13,17
2017-11-04 00:00:00,20,13,13
2017-11-05 00:00:00,20,12,27
2017-11-06 00:00:00,20,12,27
2017-11-07 00:00:00,19,12,30
2017-11-08 00:00:00,19,12,33
2017-11-09 00:00:00,19,12,30
2017-11-10 00:00:00,19,11,23
2017-11-11 00:00:00,19,11,23
2017-11-12 00:00:00,18,11,30
2017-11-13 00:00:00,18,11,27
2017-11-14 00:00:00,18,11,33
2017-11-15 00:00:00,18,10,30
2017-11-16 00:00:00,17,10,33
2017-11-17 00:00:00,17,10,30
2017-11-18 00:00:00,17,10,20
2017-11-19 00:00:00,17,9,30
2017-11-20 00:00:00,16,9,27
2017-11-21 00:00:00,16,9,27
2017-11-22 00:00:00,16,9,27
2017-11-23 00:00:00,16,8,17
2017-11-24 00:00:00,15,8,23
2017-11-25 00:00:00,15,8,23
2017-11-26 00:00:00,15,8,30
2017-11-27 00:00:00,14,7,40
2017-11-28 00:00:00,14,7,27
2017-11-29 00:00:00,14,7,30
2017-11-30 00:00:00,14,7,20
2017-12-01 00:00:00,13,6,20
2017-12-02 00:00:00,13,6,17
2017-12-03 00:00:00,13,6,27
2017-12-04 00:00:00,13,6,23
2017-12-05 00:00:00,13,6,17
2017-12-06 00:00:00,12,5,23
2017-12-07 00:00:00,12,5,13
2017-12-08 00:00:00,12,5,23
2017-12-09 00:00:00,12,5,27
2017-12-10 00:00:00,12,5,27
2017-12-11 00:00:00,12,5,23
2017-12-12 00:00:00,11,4,23
2017-12-13 00:00:00,11,4,30
2017-12-14 00:00:00,11,4,27
2017-12-15 00:00:00,11,4,23
2017-12-16 00:00:00,11,4,27
2017-12-17 00:00:00,11,4,43
2017-12-18 00:00:00,11,4,23
2017-12-19 00:00:00,11,4,20
2017-12-20 00:00:00,11,3,27
2017-12-21 00:00:00,11,3,30
2017-12-22 00:00:00,10,3,17
2017-12-23 00:00:00,10,3,17
2017-12-24 00:00:00,10,3,7
2017-12-25 00:00:00,10,3,17
2017-12-26 00:00:00,10,3,17
2017-12-27 00:00:00,10,3,20
2017-12-28 00:00:00,10,3,27
2017-12-29 00:00:00,10,3,20
2017-12-30 00:00:00,10,3,23
2017-12-31 00:00:00,10,3,27
